familyId,name,layer,priorityScore,scoreComponents,status,governanceDecision,nextAction,rank
PSY-F06,Attention & Cognitive Processing,Psychological,15,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",29
TEC-F01,"Access, Infrastructure & Interoperability",Technological,15,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 4, ""legacyReviewBurden"": 6, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",30
BIO-F09,Endocrine & Reproductive Physiology,Biological,14,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 4, ""legacyReviewBurden"": 0, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",31
CUL-F05,"Kinship, Family & Communal Obligation",Cultural,14,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 4, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",32
ENV-F02,Mobility & Transport Infrastructure,Physical / Environmental,14,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",33
ENV-F09,Natural Environment & Ecological Exposure,Physical / Environmental,14,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 4, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",34
ENV-F12,Material Resources & Shelter,Physical / Environmental,14,"{""blockedEntities"": 0, ""isolatedEntities"": 5, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",35
PSY-F01,"Beliefs, Attitudes & Outcome Expectancies",Psychological,14,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",36
PSY-F11,"Self-Concept, Identity & Consistency",Psychological,14,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",37
BIO-F05,"Fatigue, Pain & Physical Capacity",Biological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",38
BIO-F12,Neurological Integrity & Brain State,Biological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 5, ""isolatedFamily"": 4, ""legacyReviewBurden"": 0, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",39
CUL-F03,Norm Strength & Informal Rules,Cultural,13,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",40
INS-F06,"Participation, Procedural Governance & Redress",Institutional / Structural,13,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",41
PSY-F02,"Risk, Threat & Coping Appraisal",Psychological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",42
PSY-F10,"Decision Valuation Across Risk, Time & Effort",Psychological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",43
SOC-F01,Normative Climate & Informal Enforcement,Social,13,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",44
SOC-F09,"Group Composition, Cohesion & Deliberation",Social,13,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",45
TEC-F03,"Attention, Interruption & Temporal Control",Technological,13,"{""blockedEntities"": 3, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",46
CUL-F07,"Collective Memory, Narrative & Symbolic Meaning",Cultural,12,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",47
ENV-F01,Spatial Access & Proximity,Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",48
ENV-F03,Built Form & Spatial Configuration,Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",49
ENV-F06,"Acoustic, Visual & Vibrational Conditions",Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",50
ENV-F07,"Thermal, Atmospheric & Weather Conditions",Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",51
INS-F02,"Incentives, Sanctions & Payoffs",Institutional / Structural,12,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",52
INS-F08,"Market, Labor & Transaction Structure",Institutional / Structural,12,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",53
PSY-F13,Epistemic Trust & Persuasion,Psychological,12,"{""blockedEntities"": 0, ""isolatedEntities"": 0, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",54
SOC-F08,Network Exposure & Social Diffusion,Social,12,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",55
TEC-F07,Platform Social Affordances,Technological,12,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",56
TEC-F11,"Immersion, Embodiment & Representation",Technological,12,"{""blockedEntities"": 0, ""isolatedEntities"": 0, ""isolatedFamily"": 4, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",57
BIO-F03,Homeostatic & Interoceptive Regulation,Biological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 3, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",58
BIO-F10,"Neurodevelopment, Aging & Reserve",Biological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 4, ""legacyReviewBurden"": 0, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",59
BIO-F13,Psychoactive & Pharmacologic Effects,Biological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 3, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",60
CUL-F04,"Honor, Face, Dignity & Hierarchy Logics",Cultural,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",61
CUL-F06,Cultural Transmission & Social Learning,Cultural,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 2, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",62
CUL-F11,"Epistemic, Cognitive & Temporal Conventions",Cultural,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""noRecordedActiveEffect"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",63
