familyId,name,layer,priorityScore,scoreComponents,status,governanceDecision,nextAction,rank
PSY-F12,"Agency, Attribution & Moral Judgment",Psychological,15,"{""blockedEntities"": 0, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",18
SOC-F05,"Cooperation, Reciprocity & Mutual Dependence",Social,15,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",19
INS-F01,Formal Rules & Authority Allocation,Institutional / Structural,14,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",20
PSY-F09,"Planning, Self-Regulation & Executive Control",Psychological,14,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",21
PSY-F14,Stable Dispositions & Temperament,Psychological,14,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",22
CUL-F01,Shared Values & Moral Priorities,Cultural,13,"{""blockedEntities"": 0, ""isolatedEntities"": 9, ""isolatedFamily"": 0, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",23
ENV-F11,"Hazards, Safety & Physical Security",Physical / Environmental,13,"{""blockedEntities"": 0, ""isolatedEntities"": 2, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",24
INF-F12,"Veracity, Omission & Correction",Informational,13,"{""blockedEntities"": 0, ""isolatedEntities"": 0, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""rdsCausalSources"": 5, ""rdsComplexity"": 2}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",25
INS-F05,"Monitoring, Enforcement & Accountability",Institutional / Structural,13,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",26
INS-F09,"Political Power, Rights & Differential Treatment",Institutional / Structural,13,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",27
PSY-F03,Normative & Relational Perceptions,Psychological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",28
PSY-F06,Attention & Cognitive Processing,Psychological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",29
TEC-F01,"Access, Infrastructure & Interoperability",Technological,13,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 4, ""legacyReviewBurden"": 6, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",30
BIO-F09,Endocrine & Reproductive Physiology,Biological,12,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 4, ""legacyReviewBurden"": 0, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",31
CUL-F05,"Kinship, Family & Communal Obligation",Cultural,12,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 4, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",32
ENV-F02,Mobility & Transport Infrastructure,Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",33
ENV-F09,Natural Environment & Ecological Exposure,Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 4, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",34
ENV-F12,Material Resources & Shelter,Physical / Environmental,12,"{""blockedEntities"": 0, ""isolatedEntities"": 5, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",35
PSY-F01,"Beliefs, Attitudes & Outcome Expectancies",Psychological,12,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 9, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",36
PSY-F11,"Self-Concept, Identity & Consistency",Psychological,12,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",37
BIO-F05,"Fatigue, Pain & Physical Capacity",Biological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",38
BIO-F12,Neurological Integrity & Brain State,Biological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 5, ""isolatedFamily"": 4, ""legacyReviewBurden"": 0, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",39
CUL-F03,Norm Strength & Informal Rules,Cultural,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",40
INS-F06,"Participation, Procedural Governance & Redress",Institutional / Structural,11,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",41
PSY-F02,"Risk, Threat & Coping Appraisal",Psychological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",42
PSY-F10,"Decision Valuation Across Risk, Time & Effort",Psychological,11,"{""blockedEntities"": 0, ""isolatedEntities"": 7, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",43
SOC-F01,Normative Climate & Informal Enforcement,Social,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",44
SOC-F09,"Group Composition, Cohesion & Deliberation",Social,11,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",45
TEC-F03,"Attention, Interruption & Temporal Control",Technological,11,"{""blockedEntities"": 3, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",46
CUL-F07,"Collective Memory, Narrative & Symbolic Meaning",Cultural,10,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",47
ENV-F01,Spatial Access & Proximity,Physical / Environmental,10,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",48
ENV-F03,Built Form & Spatial Configuration,Physical / Environmental,10,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",49
ENV-F06,"Acoustic, Visual & Vibrational Conditions",Physical / Environmental,10,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",50
ENV-F07,"Thermal, Atmospheric & Weather Conditions",Physical / Environmental,10,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",51
INS-F02,"Incentives, Sanctions & Payoffs",Institutional / Structural,10,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 2, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",52
INS-F08,"Market, Labor & Transaction Structure",Institutional / Structural,10,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",53
PSY-F13,Epistemic Trust & Persuasion,Psychological,10,"{""blockedEntities"": 0, ""isolatedEntities"": 0, ""isolatedFamily"": 0, ""legacyReviewBurden"": 10, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",54
SOC-F08,Network Exposure & Social Diffusion,Social,10,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",55
TEC-F07,Platform Social Affordances,Technological,10,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 7, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",56
TEC-F11,"Immersion, Embodiment & Representation",Technological,10,"{""blockedEntities"": 0, ""isolatedEntities"": 0, ""isolatedFamily"": 4, ""legacyReviewBurden"": 4, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",57
BIO-F03,Homeostatic & Interoceptive Regulation,Biological,9,"{""blockedEntities"": 0, ""isolatedEntities"": 6, ""isolatedFamily"": 0, ""legacyReviewBurden"": 3, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",58
BIO-F10,"Neurodevelopment, Aging & Reserve",Biological,9,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 4, ""legacyReviewBurden"": 0, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",59
BIO-F13,Psychoactive & Pharmacologic Effects,Biological,9,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 3, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",60
CUL-F04,"Honor, Face, Dignity & Hierarchy Logics",Cultural,9,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",61
CUL-F06,Cultural Transmission & Social Learning,Cultural,9,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",62
CUL-F11,"Epistemic, Cognitive & Temporal Conventions",Cultural,9,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",63
ENV-F04,Environmental Affordances & Legibility,Physical / Environmental,9,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 3, ""noCrossLayer"": 2, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",64
ENV-F13,Physical Disruption & Passability,Physical / Environmental,9,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",65
INF-F06,Source Disclosure & Provenance,Informational,9,"{""blockedEntities"": 0, ""isolatedEntities"": 4, ""isolatedFamily"": 0, ""legacyReviewBurden"": 5, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",66
INS-F07,"Resource Distribution, Eligibility & Service Access",Institutional / Structural,9,"{""blockedEntities"": 0, ""isolatedEntities"": 3, ""isolatedFamily"": 0, ""legacyReviewBurden"": 6, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",67
SOC-F11,Audience & Social Evaluation,Social,9,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",68
TEC-F04,Algorithmic Curation & Adaptive Delivery,Technological,9,"{""blockedEntities"": 0, ""isolatedEntities"": 1, ""isolatedFamily"": 0, ""legacyReviewBurden"": 8, ""noCrossLayer"": 0, ""rdsCausalSources"": 0, ""rdsComplexity"": 0}",NO_AUDIT_STATUS_IN_THIS_INVENTORY,PENDING,"Review recorded membership, RDS inputs and existing incident claims only after separate audit authorization",69
